2019-05-01 14:29:58,138 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2019-05-01 14:29:58,138 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2019-05-01 14:29:58,139 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2019-05-01 14:29:58,139 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2019-05-01 14:29:58,139 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2019-05-01 14:29:58,629 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2019-05-01 14:29:58,629 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2019-05-01 14:29:58,630 [main] INFO  marytts.main Startup complete.
2019-05-01 14:30:03,447 [Thread-4] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", audio "WAVE")
2019-05-01 14:30:03,448 [Thread-4] INFO  marytts.R 1 Handling request using the following modules:
2019-05-01 14:30:03,448 [Thread-4] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2019-05-01 14:30:03,448 [Thread-4] INFO  marytts.R 1 Next module: TextToMaryXML
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 Handling request using the following modules:
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2019-05-01 14:30:03,449 [Thread-4] INFO  marytts.R 1 Next module: JTokeniser
2019-05-01 14:30:03,450 [Thread-4] INFO  marytts.R 1 Next module: Preprocess
2019-05-01 14:30:03,451 [Thread-4] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2019-05-01 14:30:03,453 [Thread-4] INFO  marytts.R 1 Next module: JPhonemiser
2019-05-01 14:30:03,454 [Thread-4] INFO  marytts.R 1 Next module: Prosody
2019-05-01 14:30:03,454 [Thread-4] INFO  marytts.R 1 Next module: PronunciationModel
2019-05-01 14:30:03,455 [Thread-4] INFO  marytts.R 1 Next module: AcousticModeller
2019-05-01 14:30:03,461 [Thread-4] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2019-05-01 14:30:03,461 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:03,463 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=27
2019-05-01 14:30:03,464 [Thread-4] INFO  marytts.R 1 Next module: Synthesis
2019-05-01 14:30:03,478 [Thread-4] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2019-05-01 14:30:03,478 [Thread-4] INFO  marytts.HTSEngine Using prosody from acoustparams.
2019-05-01 14:30:03,479 [Thread-4] INFO  marytts.HTSEngine Number of models in sentence numModel=4  Total number of states numState=20
2019-05-01 14:30:03,479 [Thread-4] INFO  marytts.HTSEngine Total number of frames=172  Number of voiced frames=84
2019-05-01 14:30:03,480 [Thread-4] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2019-05-01 14:30:03,480 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:03,482 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=26
2019-05-01 14:30:03,486 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=42
2019-05-01 14:30:03,486 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=2
2019-05-01 14:30:03,487 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=48
2019-05-01 14:30:03,488 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=1
2019-05-01 14:30:03,488 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=1
2019-05-01 14:30:03,490 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=55
2019-05-01 14:30:03,490 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=22
2019-05-01 14:30:03,491 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=13
